physical_id,case,catalog_source,Re,Lx,Lz,shear,L2,groups,representative_group,representative_J,representative_K,representative_L,ode,dns,dns_ode_comparison,dns_bifurcation,dns_bifurcation_points,E3D,dissipation,D_total,wall_shear,I_total,leading_lambda_re,leading_lambda_im,n_unstable,eigen_lambda,leading_eigenvector,literature,dedup_component_id,dedup_component_size,dedup_status,dedup_members,dedup_edge_count
re300_lx10_lz6_009,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.385216,0.208333,G,G,1,3,5,equilibria/re300_lx10_lz6_009/representative.asc,equilibria/re300_lx10_lz6_009/ubest.nc,equilibria/re300_lx10_lz6_009/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_009/bifurcations/dns_combined_curve.csv,66,0.0605405,0.191403,1.191403,0.191403,1.191403,0.03807426708238502,0.0,2,equilibria/re300_lx10_lz6_009/eigen/lambda.asc,equilibria/re300_lx10_lz6_009/eigen/ef1.nc,,,1,single,re300_lx10_lz6_009,0
re300_lx10_lz6_015,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.692635,0.281618,G,G,2,4,6,equilibria/re300_lx10_lz6_015/representative.asc,equilibria/re300_lx10_lz6_015/ubest.nc,equilibria/re300_lx10_lz6_015/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_015/bifurcations/dns_combined_curve.csv,86,0.09796,0.658194,1.658194,0.657376,1.657376,0.0464456063839445,0.0,4,equilibria/re300_lx10_lz6_015/eigen/lambda.asc,equilibria/re300_lx10_lz6_015/eigen/ef1.nc,,,1,single,re300_lx10_lz6_015,0
re300_lx10_lz6_017,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.726279,0.203045,G,G,1,4,5,equilibria/re300_lx10_lz6_017/representative.asc,equilibria/re300_lx10_lz6_017/ubest.nc,equilibria/re300_lx10_lz6_017/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_017/bifurcations/dns_combined_curve.csv,89,0.0738664,0.579842,1.579842,0.545337,1.545337,0.10152028313912775,0.0,7,equilibria/re300_lx10_lz6_017/eigen/lambda.asc,equilibria/re300_lx10_lz6_017/eigen/ef1.nc,,,1,single,re300_lx10_lz6_017,0
re300_lx10_lz6_020,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.871758,0.231991,G,G,1,4,5,equilibria/re300_lx10_lz6_020/representative.asc,equilibria/re300_lx10_lz6_020/ubest.nc,equilibria/re300_lx10_lz6_020/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_020/bifurcations/dns_combined_curve.csv,65,0.109413,0.871755,1.8717549999999998,0.871758,1.871758,0.10809922875315503,0.1132806404484062,9,equilibria/re300_lx10_lz6_020/eigen/lambda.asc,equilibria/re300_lx10_lz6_020/eigen/ef1.nc,,,1,single,re300_lx10_lz6_020,0
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,3.7039,0.419643,"A,B,C,D,E,F",A,3,5,11,equilibria/re300_lx2pi_lzpi_012/representative.asc,equilibria/re300_lx2pi_lzpi_012/ubest.nc,equilibria/re300_lx2pi_lzpi_012/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_012/bifurcations/dns_combined_curve.csv,71,0.208481,3.7039,4.7039,3.7039,4.7039,0.08098708812345766,0.0,21,equilibria/re300_lx2pi_lzpi_012/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_012/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_012,0
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,0.25004,0.10128,"B,C,D,F,G",C,3,5,11,equilibria/re300_lx2pi_lzpi_001/representative.asc,equilibria/re300_lx2pi_lzpi_001/ubest.nc,equilibria/re300_lx2pi_lzpi_001/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_001/bifurcations/dns_combined_curve.csv,65,0.046899,0.25004,1.25004,0.25004,1.25004,0.07147587150947786,0.0,2,equilibria/re300_lx2pi_lzpi_001/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_001/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_001,0
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,1.2109,0.250827,B,B,1,3,5,equilibria/re300_lx2pi_lzpi_008/representative.asc,equilibria/re300_lx2pi_lzpi_008/ubest.nc,equilibria/re300_lx2pi_lzpi_008/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_008/bifurcations/dns_combined_curve.csv,104,0.10725,1.2109,2.2109,1.2109,2.2109,0.0829405353424805,0.0,7,equilibria/re300_lx2pi_lzpi_008/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_008/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_008,0
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,0.305736,0.11435,D,D,1,4,5,equilibria/re300_lx2pi_lzpi_002/representative.asc,equilibria/re300_lx2pi_lzpi_002/ubest.nc,equilibria/re300_lx2pi_lzpi_002/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_002/bifurcations/dns_combined_curve.csv,66,0.0575535,0.305736,1.305736,0.305736,1.305736,0.0576213516388339,0.0,4,equilibria/re300_lx2pi_lzpi_002/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_002/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_002,0
re300_lx2pi_lzpi_006,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,0.953817,0.226596,D,D,1,3,5,equilibria/re300_lx2pi_lzpi_006/representative.asc,equilibria/re300_lx2pi_lzpi_006/ubest.nc,equilibria/re300_lx2pi_lzpi_006/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_006/bifurcations/dns_combined_curve.csv,68,0.100584,0.953816,1.953816,0.953817,1.953817,0.08727573307350023,0.0,7,equilibria/re300_lx2pi_lzpi_006/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_006/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_006,0
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,3.03859,0.386379,D,D,2,4,6,equilibria/re300_lx2pi_lzpi_010/representative.asc,equilibria/re300_lx2pi_lzpi_010/ubest.nc,equilibria/re300_lx2pi_lzpi_010/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_010/bifurcations/dns_combined_curve.csv,78,0.193702,3.03859,4.03859,3.03859,4.03859,0.10324436931820125,0.0,19,equilibria/re300_lx2pi_lzpi_010/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_010/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_010,0
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,0.451944,0.238198,E,E,3,5,11,equilibria/re300_lx2pi_lzpi_003/representative.asc,equilibria/re300_lx2pi_lzpi_003/ubest.nc,equilibria/re300_lx2pi_lzpi_003/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_003/bifurcations/dns_combined_curve.csv,64,0.0329181,0.451944,1.4519440000000001,0.451944,1.4519440000000001,0.05142253926723844,0.0,1,equilibria/re300_lx2pi_lzpi_003/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_003/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_003,0
re300_lx2pi_lzpi_007,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,1.10084,0.246689,E,E,2,4,6,equilibria/re300_lx2pi_lzpi_007/representative.asc,equilibria/re300_lx2pi_lzpi_007/ubest.nc,equilibria/re300_lx2pi_lzpi_007/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_007/bifurcations/dns_combined_curve.csv,84,0.118645,1.10084,2.10084,1.10084,2.10084,0.06630612149113467,-0.037649319501320444,11,equilibria/re300_lx2pi_lzpi_007/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_007/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_007,0
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,1.80947,0.382856,E,E,3,5,11,equilibria/re300_lx2pi_lzpi_009/representative.asc,equilibria/re300_lx2pi_lzpi_009/ubest.nc,equilibria/re300_lx2pi_lzpi_009/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_009/bifurcations/dns_combined_curve.csv,62,0.0991149,1.80947,2.80947,1.80947,2.80947,0.024687202476486515,-0.09225524721587124,5,equilibria/re300_lx2pi_lzpi_009/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_009/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_009,0
re300_lx2pi_lzpi_011,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,3.06133,0.391865,F,F,1,4,5,equilibria/re300_lx2pi_lzpi_011/representative.asc,equilibria/re300_lx2pi_lzpi_011/ubest.nc,equilibria/re300_lx2pi_lzpi_011/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_011/bifurcations/dns_combined_curve.csv,87,,,,,,0.10799558135501958,0.0,19,equilibria/re300_lx2pi_lzpi_011/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_011/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_011,0
re300_lx2pi_lzpi_004,re300_lx2pi_lzpi,eqb_catalog,300.0,6.283185307179586,3.141592653589793,0.78023,0.192927,G,G,2,4,5,equilibria/re300_lx2pi_lzpi_004/representative.asc,equilibria/re300_lx2pi_lzpi_004/ubest.nc,equilibria/re300_lx2pi_lzpi_004/images/dns_ode_comparison.png,equilibria/re300_lx2pi_lzpi_004/bifurcations/dns_combined_curve.csv,93,0.0852362,0.78023,1.78023,0.78023,1.78023,0.06082913479269936,-0.08202998199759082,9,equilibria/re300_lx2pi_lzpi_004/eigen/lambda.asc,equilibria/re300_lx2pi_lzpi_004/eigen/ef1.nc,,,1,single,re300_lx2pi_lzpi_004,0
