physical_id,case,Re,Lx,Lz,group,symmetry,shear,L2,is_trivial,source,representative_ubest,all_members
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,C,"<sxytz, sz>",3.7039,0.419643,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/C/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J1K3L5;ls:sol003@J1K3L5"
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,"<sxy, sztx>",0.25004,0.10128,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/D/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"ls:sol001@J3K5L11;ls:sol002@J2K4L6"
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,"<sxy, sztx>",0.305736,0.11435,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_1_4_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J1K4L5"
re300_lx2pi_lzpi_006,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,"<sxy, sztx>",0.953817,0.226596,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J1K3L5"
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,"<sxy, sztx>",3.03859,0.386379,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_2_4_6/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L6"
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,"<sxy, sztx>",3.7039,0.419643,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,"ls:sol003@J1K3L5"
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,"<sxyz, sztxz>",0.451944,0.238198,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_3_5_11/dns_findsoln/sol002/ubest.nc,"on:sol002@J3K5L11;ls:sol002@J3K5L11"
re300_lx2pi_lzpi_007,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,"<sxyz, sztxz>",1.10084,0.246689,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_2_4_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J2K4L5;on:sol004@J2K4L5;on:sol005@J1K4L5;ls:sol003@J2K4L6;ls:sol004@J2K4L5;ls:sol005@J2K4L5;ls:sol007@J1K4L5"
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,"<sxyz, sztxz>",1.80947,0.382856,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol006@J1K4L5;on:sol008@J1K3L5;ls:sol001@J3K5L11;ls:sol006@J1K4L5"
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,"<sxyz, sztxz>",3.7039,0.419643,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_1_3_5/dns_findsoln/sol007/ubest.nc,"on:sol007@J1K3L5;ls:sol008@J1K3L5;ls:sol009@J1K3L5"
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,"<sxy, sz, txz>",0.25004,0.10128,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/F/jkl_1_4_5/dns_findsoln/sol001/ubest.nc,"on:sol001@J1K4L5"
re300_lx2pi_lzpi_011,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,"<sxy, sz, txz>",3.06133,0.391865,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/F/jkl_1_4_5/dns_findsoln/sol002/ubest.nc,"ls:sol002@J1K4L5"
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,"<sxy, sz, txz>",3.7039,0.419643,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/F/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J1K3L5;ls:sol001@J3K5L11"
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,"<sxyz>",0.25004,0.10128,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/G/jkl_1_4_5/dns_findsoln/sol001/ubest.nc,"ls:sol001@J1K4L5;ls:sol002@J1K4L5"
re300_lx2pi_lzpi_004,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,"<sxyz>",0.78023,0.192927,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/G/jkl_2_4_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L5;on:sol003@J1K4L5;ls:sol003@J1K4L5;ls:sol005@J1K3L5"
re300_lx2pi_lzpi_005,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,"<sxyz>",0.869302,0.197445,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/G/jkl_2_4_5/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L5"
re400_lx10_lz6_001,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",1.10851e-13,3.4691e-14,true,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol002/ubest.nc,"ls:sol002@J2K4L5"
re400_lx10_lz6_008,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",0.261529,0.0987623,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_5/dns_findsoln/sol004/ubest.nc,"on:sol004@J2K4L5"
re400_lx10_lz6_011,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",0.405024,0.144998,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_1_3_5/dns_findsoln/sol007/ubest.nc,"on:sol007@J1K3L5"
re400_lx10_lz6_012,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",0.419658,0.157738,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L6"
re400_lx10_lz6_014,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",0.603132,0.26902,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L6;ls:sol001@J2K4L7;ls:sol004@J2K4L6"
re400_lx10_lz6_024,re400_lx10_lz6,400.0,10.0,6.0,A,"<sxyz, txz>",1.10926,0.223795,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/A/jkl_2_4_7/dns_findsoln/sol003/ubest.nc,"ls:sol003@J2K4L7"
re400_lx10_lz6_003,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",0.131507,0.0807176,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol004@J1K4L5"
re400_lx10_lz6_008,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",0.261529,0.0987623,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/B/jkl_2_4_7/dns_findsoln/sol002/ubest.nc,"ls:sol002@J2K4L7"
re400_lx10_lz6_010,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",0.283843,0.119763,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J2K4L5"
re400_lx10_lz6_012,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",0.419658,0.157738,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/B/jkl_2_4_6/dns_findsoln/sol001/ubest.nc,"ls:sol001@J2K4L6"
