physical_id,case,Re,Lx,Lz,shear,L2,is_trivial,source,groups,n_groups,representative_ubest
re300_lx2pi_lzpi_007,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,1.10084,0.246689,false,both,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/E/jkl_2_4_6/dns_findsoln/sol003/ubest.nc
re300_lx2pi_lzpi_009,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,1.80947,0.382856,false,both,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_3_5_11/dns_findsoln/sol001/ubest.nc
re300_lx2pi_lzpi_011,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,3.06133,0.391865,false,low_shear,"F",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx2pi_lzpi/F/jkl_1_4_5/dns_findsoln/sol002/ubest.nc
re300_lx2pi_lzpi_004,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.78023,0.192927,false,both,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/G/jkl_2_4_5/dns_findsoln/sol002/ubest.nc
re300_lx2pi_lzpi_005,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.869302,0.197445,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/G/jkl_2_4_5/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_001,re400_lx10_lz6,400.0,10.0,6.0,1.10851e-13,3.4691e-14,true,both,"A,C,E,G",4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol004/ubest.nc
re400_lx10_lz6_008,re400_lx10_lz6,400.0,10.0,6.0,0.261529,0.0987623,false,both,"A,B,C",3,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/B/jkl_2_4_7/dns_findsoln/sol002/ubest.nc
re400_lx10_lz6_011,re400_lx10_lz6,400.0,10.0,6.0,0.405024,0.144998,false,both,"A,D,E,G",4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_1_3_5/dns_findsoln/sol007/ubest.nc
re400_lx10_lz6_012,re400_lx10_lz6,400.0,10.0,6.0,0.419658,0.157738,false,both,"A,B,C,E",4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/A/jkl_2_4_6/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_014,re400_lx10_lz6,400.0,10.0,6.0,0.603132,0.26902,false,both,"A",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/A/jkl_2_4_7/dns_findsoln/sol001/ubest.nc
