group,ix,iz,target_Lx,target_Lz,point_Lx,point_Lz,point_source,point_label,point_tag,point_ubest,min_Re,status,re_out_dir
E,4,3,7.14285714,3.14285714,7.14285714,3.13803701,existing_grid_geom,i04_j03,to_i04_j02_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i04_j03/to_i04_j02_Lz/initial-2/ubest.nc,168.24108000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i04_j03
E,5,3,7.85714286,3.14285714,7.85714286,3.11933575,existing_grid_geom,i05_j03,to_i05_j02_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i05_j03/to_i05_j02_Lz/initial-2/ubest.nc,180.64281000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i05_j03
E,6,3,8.57142857,3.14285714,8.57142857,3.13449340,existing_grid_geom,i06_j03,to_i06_j02_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i06_j03/to_i06_j02_Lz/initial-2/ubest.nc,188.31810000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i06_j03
E,7,3,9.28571429,3.14285714,9.48518382,3.14285714,existing_grid_geom,i09_j03,to_i08_j03_Lx:search-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i09_j03/to_i08_j03_Lx/search-0/ubest.nc,194.23890000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i07_j03
E,8,3,10.00000000,3.14285714,10.00000000,3.14477520,existing_grid_geom,i08_j02,to_i08_j01_Lz:search-19,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i08_j02/to_i08_j01_Lz/search-19/ubest.nc,207.21763000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i08_j03
E,9,3,10.71428571,3.14285714,10.71428571,3.18642170,existing_grid_geom,i09_j03,to_i09_j02_Lz:initial-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i09_j03/to_i09_j02_Lz/initial-0/ubest.nc,210.67887000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i09_j03
E,10,3,11.42857143,3.14285714,11.42857143,3.13021699,existing_grid_geom,i10_j03,to_i10_j02_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i10_j03/to_i10_j02_Lz/initial-2/ubest.nc,231.92642000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i10_j03
E,11,3,12.14285714,3.14285714,12.14285714,3.14158512,existing_grid_geom,i11_j03,to_i11_j02_Lz:search-17,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i11_j03/to_i11_j02_Lz/search-17/ubest.nc,245.80567000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i11_j03
E,12,3,12.85714286,3.14285714,12.85714286,3.13549317,existing_grid_geom,i12_j03,to_i12_j02_Lz:search-14,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i12_j03/to_i12_j02_Lz/search-14/ubest.nc,255.82908000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i12_j03
E,13,3,13.57142857,3.14285714,13.57142857,3.13609288,existing_grid_geom,i13_j03,to_i13_j02_Lz:search-13,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i13_j03/to_i13_j02_Lz/search-13/ubest.nc,262.28978000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i13_j03
