physical_id,segment_index,Re,group,from_Lx,from_Lz,target_Lx,target_Lz,cont,dmu,target_mu,ns,T,seed,symm,out_dir,seed_exists
re300_lx10_lz6_014,1,300.0,D,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_014/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_014/to_ghc/01_diag,true
re300_lx10_lz6_014,2,300.0,D,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_014/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_014/to_ghc/02_lz,true
re300_lx10_lz6_019,1,300.0,D,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_019/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_019/to_ghc/01_diag,true
re300_lx10_lz6_019,2,300.0,D,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_019/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_019/to_ghc/02_lz,true
re300_lx10_lz6_024,1,300.0,D,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_024/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_024/to_ghc/01_diag,true
re300_lx10_lz6_024,2,300.0,D,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_024/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_D.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_024/to_ghc/02_lz,true
re300_lx10_lz6_013,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_013/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_013/to_ghc/01_diag,true
re300_lx10_lz6_013,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_013/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_013/to_ghc/02_lz,true
re300_lx10_lz6_016,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_016/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_016/to_ghc/01_diag,true
re300_lx10_lz6_016,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_016/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_016/to_ghc/02_lz,true
