seed_label,seed_kind,rank_within_seed,phase_index,phase_time,best_T,closure,relative_closure,I_span,D_span,I_mean,D_mean,I_min,I_max,D_min,D_max,span_class
projected_gibson_orbit1,projected_dns,6,156,155.0,51.652475842498525,0.0017059003306832015,0.005077825646173512,0.06594490526192986,0.05472437020565479,2.246767122421184,2.2267219813745074,2.2148986799699135,2.2808435852318434,2.1905568555185093,2.245281225724164,small
guarded_large_loop,large_loop_candidate,2,160,159.0,51.875388202501895,0.0018207617958910878,0.005417336243392512,0.08596472237010389,0.07694223183228033,2.2455725739905175,2.2265228913198305,2.2035887393146023,2.289553461684706,2.1756680529620467,2.252610284794327,small
projected_gibson_orbit1,projected_dns,8,143,142.0,52.41640786499873,0.001878410344906825,0.00568739781441582,0.06857786079885964,0.0577560171535807,2.247638233224576,2.2275297172880606,2.214904107704379,2.2834819685032386,2.1905479676726283,2.248303984826209,small
ms_large_loop_T57,large_loop_candidate,2,161,160.0,51.83281572999748,0.001945377890384178,0.0057727541666996755,0.09089710489586489,0.08280344009318963,2.2447904732048394,2.2259009056892567,2.2002668619243857,2.2911639668202506,2.1714005330743467,2.2542039731675363,small
projected_gibson_orbit1,projected_dns,7,131,130.0,51.875388202501895,0.0019770576676037925,0.006340632591942042,0.07527653992780259,0.06466657490894212,2.2464590893701493,2.2268213204553087,2.208209407939127,2.2834859478669296,2.18363882887754,2.2483054037864822,small
ms_large_loop_T57,large_loop_candidate,4,135,134.0,52.16718427000252,0.002292377719955451,0.007382189038561892,0.10020766895249089,0.09405849045896719,2.2451459197001475,2.2264759600444375,2.1953578991870426,2.2955655681395335,2.164719950365006,2.2587784408239733,small
guarded_large_loop,large_loop_candidate,5,135,134.0,52.124611797498105,0.002373549953099849,0.007571764730375785,0.0912724823072959,0.0847351806644534,2.2456451001877946,2.2271100653615106,2.20192106449663,2.2931935468039257,2.172284037008459,2.2570192176729122,small
guarded_large_loop,large_loop_candidate,4,156,155.0,51.652475842498525,0.002497722697202158,0.007353127819255264,0.0859681752721988,0.0769729809433346,2.245689621783653,2.2267223814601054,2.2035881752325084,2.289556350504707,2.1756325518233,2.2526055327666348,small
guarded_large_loop,large_loop_candidate,7,143,142.0,52.652475842498525,0.002581061391727249,0.007787327642467295,0.08960182376788595,0.08135855391856373,2.2468658843803264,2.2278784821327817,2.203592894531803,2.293194718299689,2.175654294203531,2.257012848122095,small
ms_large_loop_T57,large_loop_candidate,7,144,143.0,52.763932022500214,0.002611391644170053,0.007885412421021074,0.09529258538258345,0.08741972892644823,2.24630601483082,2.2272635224843484,2.200267625686604,2.2955602110691875,2.1713615338530876,2.258781262779536,small
ms_large_loop_T57,large_loop_candidate,6,157,156.0,51.652475842498525,0.0027209947893866047,0.007989970388706235,0.09089619467139265,0.08284072411366816,2.2449023426622983,2.226039646574873,2.2002780679112464,2.291174262582639,2.171357092836009,2.2541978169496772,small
guarded_large_loop,large_loop_candidate,6,93,92.0,53.236067977499786,0.002758121314671142,0.008204389242479656,0.10164520986801895,0.08812295279867755,2.2429589550683455,2.222829403862781,2.1933201513435736,2.2949653612115926,2.164649211131459,2.2527721639301364,small
ms_large_loop_T57,large_loop_candidate,5,113,112.0,51.94427190999916,0.0028238989370704304,0.008501233162035078,0.10298254055621658,0.09574134194997086,2.243566964062217,2.2261377112688234,2.1925834324984184,2.295565973054635,2.1630369144527153,2.258778256402686,small
ms_large_loop_T57,large_loop_candidate,8,94,93.0,52.875388202501895,0.0029442905157426387,0.008776768167685073,0.10094918809963183,0.09051599361952789,2.2429135260548096,2.224355393250627,2.192560868131261,2.2935100562308928,2.163068218218144,2.253584211837672,small
guarded_large_loop,large_loop_candidate,8,112,111.0,51.875388202501895,0.003050829419442642,0.009225767736620885,0.09985134737337997,0.09237831707187905,2.2427126310003067,2.2249208574053814,2.193342404995239,2.293193752368619,2.1646352347171374,2.2570135517890164,small
random_symmetry_2,random,1,27,26.0,14.111456180001682,0.03402872659812844,0.13153051872155552,0.12616892173881222,0.11104750936278562,1.6833688110434761,1.5721031673955985,1.6120233590274478,1.73819228076626,1.497680600442562,1.6087281098053476,medium
random_symmetry_1,random,1,54,53.0,14.111456180001682,0.035748701513349954,0.12700659372031115,0.1312796480176448,0.12413178410672221,1.8304492444911646,1.7018188273882517,1.7472819442395873,1.878561592257232,1.6278441428464183,1.7519759269531405,medium
random_symmetry_2,random,2,31,30.0,14.111456180001682,0.03849266970895602,0.14777283696068583,0.15195596120243682,0.16203691786612318,1.643880138955694,1.5330547877804968,1.5609338116358256,1.7128897728382624,1.4404641430772074,1.6025010609433306,medium
random_symmetry_1,random,2,58,57.0,14.111456180001682,0.03965300774907784,0.13978217062793058,0.1770365361411559,0.15980536308628257,1.786164729447753,1.6607704558123821,1.6897067515576547,1.8667432876988106,1.5750370688359558,1.7348424319222384,medium
random_symmetry_1,random,3,52,51.0,18.11145618000168,0.04367839919908647,0.15728923416865156,0.15991867989934483,0.14997115557430885,1.824569024265087,1.6969454106612518,1.7186446118295131,1.878563291728858,1.6020031650358804,1.7519743206101892,medium
random_symmetry_2,random,3,26,25.0,18.11145618000168,0.04403517208889911,0.1711918137974907,0.16995905305432624,0.15391751803755715,1.6715718638531207,1.5580029202183874,1.5740378742097998,1.743996927264126,1.454812610455242,1.608730128492799,medium
random_symmetry_1,random,4,50,49.0,14.111456180001682,0.044401286634358356,0.16374957498334994,0.07629487984442629,0.07757924139333472,1.857365788990372,1.7254359582267018,1.802266879584949,1.8785617594293753,1.6743968945642447,1.7519761359575794,small
random_symmetry_2,random,5,35,34.0,14.111456180001682,0.044910603880314884,0.17537296487562098,0.17137532590536608,0.18973220197303653,1.5979031913830153,1.4826873509983438,1.5075434350208425,1.6789187609262086,1.3839969675000638,1.5737291694731004,medium
random_symmetry_1,random,5,62,61.0,14.111456180001682,0.04498179043346324,0.16028805493660966,0.1965378840559806,0.1760573863605599,1.7327535862017218,1.6130637824494332,1.632134048008494,1.8286719320644746,1.520177707175141,1.696235093535701,medium
random_symmetry_2,random,4,23,22.0,14.111456180001682,0.04562920390279556,0.18243288353286724,0.10743785474121803,0.05817103149262559,1.716082083933702,1.5931904556487642,1.6577678196220544,1.7652056743632725,1.5505572383127104,1.608728269805336,small
random_symmetry_1,random,7,66,65.0,14.111456180001682,0.04781257603698333,0.17489234920143557,0.20005684402249835,0.18585384672201988,1.6763101312584943,1.5615669885471926,1.576782674445017,1.7768395184675154,1.4674991105874045,1.6533529573094243,medium
random_symmetry_1,random,8,70,69.0,14.111456180001682,0.04788033846172019,0.1820295670053833,0.1950810789533335,0.1845189266893268,1.620165625909158,1.5088448442827613,1.5251701242162454,1.720251203169579,1.4189592719143955,1.6034781986037223,medium
random_symmetry_1,random,6,56,55.0,18.11145618000168,0.048378773462658425,0.170760637229381,0.2156527667427237,0.20122177678499553,1.7833436315603908,1.6587606105226211,1.6607714883135445,1.8764242550562682,1.5475595445517243,1.7487813213367198,medium
random_symmetry_2,random,7,39,38.0,14.111456180001682,0.04952210699351439,0.20007162479720053,0.18265080326008198,0.19631340749072712,1.5475397773281285,1.4276080767057038,1.4543667498662043,1.6370175531262863,1.3303568554347243,1.5266702629254514,medium
random_symmetry_2,random,6,30,29.0,18.11145618000168,0.05031257148515392,0.19298491756587757,0.19902935158383062,0.2082170730706019,1.6308070041688807,1.5180625901191096,1.52095436060139,1.7199837121852206,1.3979144261901855,1.6061314992607874,medium
random_symmetry_2,random,8,24,23.0,22.11145618000168,0.052996774669320235,0.20969767266662143,0.20956113100273677,0.1825548693560064,1.668650408013133,1.5510110032427513,1.547689130750915,1.7572502617536518,1.4261757918158322,1.6087306611718386,medium
