label,t,I,D,E
lower_Re_attempt step 1 Re 410.251,3.61716269661517,1.698042439734369,1.6732585320232038,0.040946081246562585
lower_Re_attempt step 1 Re 410.251,3.6795275706947415,1.6980368682684759,1.6732638976931895,0.04094564626429112
lower_Re_attempt step 1 Re 410.251,3.7418924447743134,1.6980300980778165,1.6732687554450743,0.04094522063495138
lower_Re_attempt step 1 Re 410.251,3.8042573188538853,1.6980221151346122,1.6732730843786108,0.04094480476419121
lower_Re_attempt step 1 Re 410.251,3.866622192933457,1.6980129082281787,1.6732768632340225,0.04094439905698562
lower_Re_attempt step 1 Re 410.251,3.928987067013029,1.698002469442408,1.673280070458842,0.04094400391624065
lower_Re_attempt step 1 Re 410.251,3.991351941092601,1.6979907938530214,1.6732826842860582,0.04094361974474948
lower_Re_attempt step 1 Re 410.251,4.053716815172173,1.6979778797574012,1.6732846828836232,0.04094324694170635
lower_Re_attempt step 1 Re 410.251,4.116081689251745,1.6979637287015814,1.6732860444689237,0.040942885902828574
lower_Re_attempt step 1 Re 410.251,4.178446563331317,1.6979483454802482,1.6732867474130377,0.04094253702064891
lower_Re_attempt step 1 Re 410.251,4.240811437410889,1.6979317381367385,1.6732867703366954,0.040942200684704944
lower_Re_attempt step 1 Re 410.251,4.303176311490461,1.697913917975504,1.6732860921920387,0.04094187728091475
lower_Re_attempt step 1 Re 410.251,4.365541185570033,1.6978948997424788,1.673284692313912,0.040941567189064436
lower_Re_attempt step 1 Re 410.251,4.4279060596496045,1.697874701577485,1.673282550551199,0.040941270785561416
lower_Re_attempt step 1 Re 410.251,4.490270933729176,1.6978533448645379,1.6732796473874356,0.04094098843928317
lower_Re_attempt step 1 Re 410.251,4.552635807808748,1.6978308542279412,1.6732759640694221,0.04094072051132434
lower_Re_attempt step 1 Re 410.251,4.61500068188832,1.6978072575322871,1.6732714827284423,0.04094046735517366
lower_Re_attempt step 1 Re 410.251,4.677365555967892,1.6977825858824565,1.6732661864906009,0.04094022931678404
lower_Re_attempt step 1 Re 410.251,4.739730430047464,1.6977568735934818,1.6732600595690532,0.040940006734234355
lower_Re_attempt step 1 Re 410.251,4.802095304127036,1.6977301579100383,1.6732530872647327,0.04093979993441048
lower_Re_attempt step 1 Re 410.251,4.864460178206608,1.6977024793134012,1.6732452561283435,0.04093960923583034
