Lx,Lz,alpha,gamma,id,residual
11.25,2.6666666666666665,0.5585053606381855,2.356194490192345,3,NaN
11.25,3.3333333333333335,0.5585053606381855,1.8849555921538759,3,NaN
11.25,3.6666666666666665,0.5585053606381855,1.71359599286716,3,NaN
11.25,4.0,0.5585053606381855,1.5707963267948966,3,NaN
11.25,4.333333333333333,0.5585053606381855,1.4499658401183662,3,NaN
11.25,4.666666666666667,0.5585053606381855,1.3463968515384828,3,NaN
11.25,5.0,0.5585053606381855,1.2566370614359172,3,NaN
11.25,5.333333333333333,0.5585053606381855,1.1780972450961724,3,NaN
11.25,5.666666666666667,0.5585053606381855,1.1087974071493387,3,NaN
11.25,6.0,0.5585053606381855,1.0471975511965976,3,NaN
11.25,6.333333333333333,0.5585053606381855,0.9920818906073031,3,NaN
11.25,6.666666666666667,0.5585053606381855,0.9424777960769379,3,NaN
11.25,7.0,0.5585053606381855,0.8975979010256552,3,NaN
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,3,NaN
11.25,7.666666666666667,0.5585053606381855,0.8195459096321199,3,NaN
11.25,8.0,0.5585053606381855,0.7853981633974483,3,NaN
11.25,8.333333333333334,0.5585053606381855,0.7539822368615503,3,NaN
11.25,8.666666666666666,0.5585053606381855,0.7249829200591831,3,NaN
11.25,9.0,0.5585053606381855,0.6981317007977318,3,NaN
11.25,9.333333333333334,0.5585053606381855,0.6731984257692414,3,NaN
11.25,9.666666666666666,0.5585053606381855,0.6499846869496124,3,NaN
11.25,10.0,0.5585053606381855,0.6283185307179586,3,NaN
11.666666666666666,3.3333333333333335,0.5385587406153931,1.8849555921538759,3,NaN
11.666666666666666,3.6666666666666665,0.5385587406153931,1.71359599286716,3,NaN
11.666666666666666,4.0,0.5385587406153931,1.5707963267948966,3,NaN
11.666666666666666,4.333333333333333,0.5385587406153931,1.4499658401183662,3,NaN
11.666666666666666,4.666666666666667,0.5385587406153931,1.3463968515384828,3,NaN
11.666666666666666,5.0,0.5385587406153931,1.2566370614359172,3,NaN
11.666666666666666,5.333333333333333,0.5385587406153931,1.1780972450961724,3,NaN
11.666666666666666,5.666666666666667,0.5385587406153931,1.1087974071493387,3,NaN
11.666666666666666,6.0,0.5385587406153931,1.0471975511965976,3,NaN
11.666666666666666,6.333333333333333,0.5385587406153931,0.9920818906073031,3,NaN
11.666666666666666,6.666666666666667,0.5385587406153931,0.9424777960769379,3,NaN
11.666666666666666,7.0,0.5385587406153931,0.8975979010256552,3,NaN
11.666666666666666,7.333333333333333,0.5385587406153931,0.85679799643358,3,NaN
11.666666666666666,7.666666666666667,0.5385587406153931,0.8195459096321199,3,NaN
11.666666666666666,8.0,0.5385587406153931,0.7853981633974483,3,NaN
11.666666666666666,8.333333333333334,0.5385587406153931,0.7539822368615503,3,NaN
11.666666666666666,8.666666666666666,0.5385587406153931,0.7249829200591831,3,NaN
11.666666666666666,9.0,0.5385587406153931,0.6981317007977318,3,NaN
11.666666666666666,9.333333333333334,0.5385587406153931,0.6731984257692414,3,NaN
11.666666666666666,9.666666666666666,0.5385587406153931,0.6499846869496124,3,NaN
12.083333333333334,3.3333333333333335,0.5199877495596898,1.8849555921538759,3,NaN
12.083333333333334,4.0,0.5199877495596898,1.5707963267948966,3,NaN
12.083333333333334,4.333333333333333,0.5199877495596898,1.4499658401183662,3,NaN
12.083333333333334,4.666666666666667,0.5199877495596898,1.3463968515384828,3,NaN
12.083333333333334,5.0,0.5199877495596898,1.2566370614359172,3,NaN
