Lx,Lz,alpha,gamma,min_Re,count
7.6316,8.7368,0.82331167,0.71916323,154.53711808,7
15.0000,4.1053,0.41887902,1.53050576,186.60588492,1
9.2105,8.7368,0.68217635,0.71916323,123.92721847,7
10.7895,9.5789,0.58234258,0.65594017,120.91529024,7
10.2632,3.6842,0.61220529,1.70544088,161.63582701,2
13.4211,6.6316,0.46815725,0.94746144,115.95271821,4
15.0000,4.5263,0.41887902,1.38815043,166.73455355,3
13.4211,4.9474,0.46815725,1.26999743,140.51072708,3
6.0526,6.2105,1.03809690,1.01170362,135.60171500,2
5.5263,9.5789,1.13696059,0.65594017,281.64047469,1
15.0000,10.0000,0.41887902,0.62831853,111.82835031,5
12.3684,6.2105,0.50800308,1.01170362,114.04766928,4
9.7368,5.7895,0.64530290,1.08527253,105.53745718,5
10.2632,3.2632,0.61220529,1.92546743,194.06376617,1
6.5789,4.1053,0.95505104,1.53050576,119.43970047,4
7.6316,5.7895,0.82331167,1.08527253,104.19715493,3
9.7368,7.4737,0.64530290,0.84070612,103.73968844,3
9.2105,5.7895,0.68217635,1.08527253,103.89029903,2
7.6316,7.4737,0.82331167,0.84070612,135.35627536,4
11.8421,6.6316,0.53058033,0.94746144,108.48422673,2
7.1053,8.3158,0.88429557,0.75557196,158.37675200,5
6.5789,4.5263,0.95505104,1.38815043,112.86346259,4
7.1053,9.1579,0.88429557,0.68609455,194.00397994,3
7.6316,2.8421,0.82331167,2.21075448,201.97788275,2
11.3158,8.3158,0.55525772,0.75557196,105.85944468,7
11.3158,9.1579,0.55525772,0.68609455,111.50491338,9
11.8421,4.9474,0.53058033,1.26999743,128.90845885,3
12.8947,8.3158,0.48726882,0.75557196,107.91921728,8
12.8947,9.1579,0.48726882,0.68609455,109.14209268,5
9.2105,7.4737,0.68217635,0.84070612,105.74207807,5
9.7368,2.8421,0.64530290,2.21075448,238.50417718,2
9.2105,2.8421,0.68217635,2.21075448,228.92213468,2
13.4211,3.6842,0.46815725,1.70544088,197.35283538,1
8.1579,7.0526,0.77019641,0.89090340,110.42988623,4
6.5789,10.0000,0.95505104,0.62831853,264.14669215,3
7.1053,7.8947,0.88429557,0.79587385,145.23381121,4
11.3158,7.8947,0.55525772,0.79587385,104.60385132,7
13.9474,7.0526,0.45049151,0.89090340,115.61716028,3
12.8947,7.8947,0.48726882,0.79587385,108.15256905,7
9.7368,5.3684,0.64530290,1.17040185,109.48082233,3
7.1053,8.7368,0.88429557,0.71916323,174.69461286,7
7.6316,5.3684,0.82331167,1.17040185,104.58853542,4
11.3158,8.7368,0.55525772,0.71916323,108.11450182,9
7.6316,2.4211,0.82331167,2.59517794,275.32731635,2
8.6842,4.1053,0.72351919,1.53050576,128.74341965,3
12.8947,8.7368,0.48726882,0.71916323,108.09318924,6
13.4211,3.2632,0.46815725,1.92546743,239.44009790,2
9.2105,5.3684,0.68217635,1.17040185,107.26668329,5
14.4737,4.1053,0.43411051,1.53050576,181.24848693,1
11.8421,3.6842,0.53058033,1.70544088,179.00240566,3
15.0000,6.2105,0.41887902,1.01170362,129.07670085,5
8.6842,4.5263,0.72351919,1.38815043,117.57223605,3
10.2632,8.3158,0.61220529,0.75557196,108.02476456,9
10.2632,9.1579,0.61220529,0.68609455,119.46283442,8
14.4737,4.5263,0.43411051,1.38815043,162.07283717,3
6.0526,7.0526,1.03809690,0.89090340,155.32997524,2
12.3684,7.0526,0.50800308,0.89090340,108.57675839,2
9.7368,9.5789,0.64530290,0.65594017,131.46224524,8
8.6842,10.0000,0.72351919,0.62831853,163.17309294,5
7.6316,9.5789,0.82331167,0.65594017,187.84100145,5
14.4737,10.0000,0.43411051,0.62831853,111.67375631,4
