case,Re,Lx,Lz,group,sol_id,dns_shear,dns_L2,dns_residual,ode_found,ode_exact_jkl,ode_J,ode_K,ode_L,ode_shear,ode_norm,delta_shear,delta_L2norm,ode_source,dns_source
re400_lx10_lz6,400.0,10.0,6.0,E,2,1.1023,0.407408,2.00125e-15,true,true,2,4,6,1.9831928306018278,0.7173055614207126,-0.8808928306018278,-0.30989756142071256,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol002
re400_lx10_lz6,400.0,10.0,6.0,E,3,0.507104,0.320622,7.29726e-15,true,true,2,4,8,1.6729288944209313,0.6285287133436422,-1.1658248944209313,-0.3079067133436422,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_8/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol003
re400_lx10_lz6,400.0,10.0,6.0,E,4,7.34014e-14,2.69968e-14,1.93799e-16,true,true,2,4,9,2.876314994555676,0.4610542836536674,-2.8763149945556026,-0.46105428365364043,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_9/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol004
re400_lx10_lz6,400.0,10.0,6.0,E,6,0.419658,0.157738,2.4877e-16,true,true,2,4,6,1.1510252025861794,0.18736008278594385,-0.7313672025861794,-0.02962208278594386,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol006
re400_lx10_lz6,400.0,10.0,6.0,E,7,3.72935e-13,1.61121e-13,3.20996e-16,true,true,2,4,6,1.6405402836514713,0.36321721771766896,-1.6405402836510983,-0.36321721771750787,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol007
re400_lx10_lz6,400.0,10.0,6.0,E,8,0.507104,0.320622,1.14147e-14,true,true,2,4,6,1.3828498632319708,0.5377350369642495,-0.8757458632319708,-0.2171130369642495,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol008
re400_lx10_lz6,400.0,10.0,6.0,E,9,0.405024,0.144998,7.87147e-14,true,true,1,3,5,1.8931536101479116,0.32545612343299657,-1.4881296101479116,-0.18045812343299658,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol009
re400_lx10_lz6,400.0,10.0,6.0,E,10,1.17228,0.233655,1.43027e-15,true,true,2,4,6,2.4139605937980892,0.3065108540286482,-1.2416805937980893,-0.07285585402864819,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol010
re400_lx10_lz6,400.0,10.0,6.0,E,12,0.131507,0.0807176,7.30554e-16,true,true,1,4,5,1.0610620769089751,0.09494050661692689,-0.9295550769089751,-0.014222906616926892,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol012
re400_lx10_lz6,400.0,10.0,6.0,E,16,1.1023,0.407408,1.28589e-14,true,true,1,3,5,2.0268811824509334,0.6039126593063201,-0.9245811824509333,-0.1965046593063201,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol016
re400_lx10_lz6,400.0,10.0,6.0,F,1,1.30284,0.251724,5.37739e-15,true,true,2,4,8,2.5989735539255245,0.46286945315055633,-1.2961335539255245,-0.21114545315055633,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/F/jkl_2_4_8/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/F/jkl_2_4_8/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,F,2,0.131507,0.0807176,9.75465e-16,true,true,1,4,5,1.0610620717323487,0.09494050370891972,-0.9295550717323486,-0.014222903708919724,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/F/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/F/jkl_1_4_5/dns_findsoln/sol002
re400_lx10_lz6,400.0,10.0,6.0,G,1,6.988e-13,1.01021e-12,9.66854e-15,true,true,2,4,5,1.140634570762166,0.16122924480706163,-1.1406345707614671,-0.1612292448060514,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,G,2,0.111429,0.0674867,2.84804e-16,true,true,2,4,5,1.2482204349476476,0.2552568364280678,-1.1367914349476476,-0.18777013642806778,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol002
re400_lx10_lz6,400.0,10.0,6.0,G,3,0.151885,0.0843729,1.50922e-15,true,true,2,4,5,1.0751257822432754,0.09171934795163432,-0.9232407822432753,-0.007346447951634319,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol003
re400_lx10_lz6,400.0,10.0,6.0,G,4,0.895123,0.219999,7.11345e-14,true,true,1,4,5,2.019194930614992,0.36678727108328935,-1.124071930614992,-0.14678827108328935,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol004
re400_lx10_lz6,400.0,10.0,6.0,G,5,0.219208,0.0956772,4.35907e-15,true,true,1,4,5,1.2986243460683193,0.2736593984336646,-1.0794163460683193,-0.17798219843366458,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol005
re400_lx10_lz6,400.0,10.0,6.0,G,8,0.507104,0.320622,1.27775e-15,true,true,1,3,5,1.1763173558101174,0.3368556242141463,-0.6692133558101174,-0.01623362421414626,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol008
re400_lx10_lz6,400.0,10.0,6.0,G,9,0.111429,0.0674867,1.44898e-14,true,true,1,4,5,1.2651819549855976,0.2682453036916006,-1.1537529549855976,-0.2007586036916006,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol009
