timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T15:58:45,re300_lx10_lz6,B,1,3,5,4,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_1_3_5/dns_findsoln/sol004
2026-03-08T16:11:16,re300_lx10_lz6,C,2,4,9,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_9/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,2,4,8,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,2,4,7,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,2,4,6,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,2,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,1,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol002
2026-03-08T16:11:16,re300_lx10_lz6,C,1,3,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol002
2026-03-08T16:16:43,re300_lx10_lz6,B,2,4,9,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol003
2026-03-08T16:25:49,re300_lx10_lz6,C,2,4,6,5,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol005
