timestamp,case,group,J,K,L,sol_id,status,min_Re,error,csv_path
2026-03-07T14:12:38,re300_lx10_lz6,C,2,4,9,3,ok,210.61451119592053,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_9/bifurcations/bif_C_sol003.csv
2026-03-07T14:30:50,re300_lx10_lz6,B,3,5,9,1,ok,217.79174444488055,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_3_5_9/bifurcations/bif_B_sol001.csv
2026-03-07T14:30:53,re300_lx10_lz6,C,2,4,9,1,ok,185.77790957769764,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_9/bifurcations/bif_C_sol001.csv
2026-03-07T14:31:13,re300_lx10_lz6,D,1,3,5,1,ok,110.99807800765556,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/bifurcations/bif_D_sol001.csv
2026-03-07T14:31:20,re300_lx10_lz6,D,1,3,5,2,ok,105.0235125736856,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/bifurcations/bif_D_sol002.csv
2026-03-07T14:31:26,re300_lx10_lz6,D,1,3,5,3,ok,285.88914873441865,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/bifurcations/bif_D_sol003.csv
2026-03-07T14:31:34,re300_lx10_lz6,D,1,3,5,4,ok,285.8891489222316,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/bifurcations/bif_D_sol004.csv
2026-03-07T14:32:03,re300_lx10_lz6,D,1,4,5,2,ok,184.820048702491,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_4_5/bifurcations/bif_D_sol002.csv
2026-03-07T14:32:14,re300_lx10_lz6,D,1,4,5,1,ok,107.05906526438889,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_4_5/bifurcations/bif_D_sol001.csv
2026-03-07T14:32:28,re300_lx10_lz6,C,2,4,9,2,ok,172.87243693150376,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_9/bifurcations/bif_C_sol002.csv
2026-03-07T14:32:57,re300_lx10_lz6,D,1,4,5,3,ok,207.48260358769045,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_4_5/bifurcations/bif_D_sol003.csv
2026-03-07T14:35:06,re300_lx10_lz6,D,2,4,5,3,ok,245.91103147745707,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_5/bifurcations/bif_D_sol003.csv
2026-03-07T14:35:23,re300_lx10_lz6,C,2,4,8,4,ok,271.2182194593044,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/bifurcations/bif_C_sol004.csv
2026-03-07T14:37:56,re300_lx10_lz6,C,3,4,9,2,ok,285.0999416370306,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_3_4_9/bifurcations/bif_C_sol002.csv
2026-03-07T14:38:38,re300_lx10_lz6,D,2,4,5,1,ok,149.25536075442258,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_5/bifurcations/bif_D_sol001.csv
2026-03-07T14:41:44,re300_lx10_lz6,D,2,4,6,3,ok,243.63381322025947,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/bifurcations/bif_D_sol003.csv
2026-03-07T14:42:59,re300_lx10_lz6,D,2,4,6,1,ok,226.05530050130855,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/bifurcations/bif_D_sol001.csv
2026-03-07T14:46:34,re300_lx10_lz6,D,2,4,6,2,ok,265.022291155783,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/bifurcations/bif_D_sol002.csv
