% Ny a b nu datacount wallunits? ustar
% 49 -1 1 0.0025000000000000001 1 0 0.050000000026188672
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
2.3314683517128287e-14 -1.2435680736116091e-15 7.3745264059719575e-18 6.9526019175476697e-17 -7.1584263231224434e-21 9.681032463301684e-15 -0.75183980712390319 3.5507417370792401e-10 -0.75183980747897738
1.865174681370263e-14 -8.4865263899280933e-16 8.9713814004845717e-18 3.9873214784314953e-17 -7.2443241218056899e-21 7.738113694891074e-15 -0.79335333987270429 4.1853091289963978e-10 -0.79335334029123517
1.4321877017664519e-14 -5.3586144799728522e-16 6.9720873951394216e-18 2.0663454225348954e-17 -4.2652900056420841e-21 6.0778421604960276e-15 -0.83146961198731284 3.1523224987129194e-10 -0.83146961230254512
9.8809849191638932e-15 -3.0594874063935845e-16 6.0464265080083331e-18 9.5456372517729805e-18 -2.6693682726008727e-21 4.5736330461153842e-15 -0.86602540347565127 3.087874539306554e-10 -0.86602540378443871
6.4392935428259079e-15 -1.5371112279570908e-16 4.7641768155787048e-18 3.83713952692502e-18 -1.747953187636312e-21 3.2014190581489825e-15 -0.89687274119308902 3.3959924219833678e-10 -0.89687274153268826
3.5527136788005009e-15 -6.5847406955974907e-17 3.8846516891852444e-18 1.2904852581190141e-18 -8.9025612764461212e-22 2.022300183603622e-15 -0.92387953227361252 2.3767422064089855e-10 -0.92387953251128674
1.8873791418627661e-15 -2.3050389857906418e-17 2.928810052127392e-18 3.4105242664948376e-19 -3.0343055171812237e-22 1.1126847738582509e-15 -0.94693012929703801 1.9806753596986947e-10 -0.94693012949510558
7.7715611723760958e-16 -6.151652654773241e-18 1.9210714415480379e-18 6.3810661945054336e-20 -3.3645371309573372e-23 5.0619137438394578e-16 -0.96592582614520062 1.438676551949114e-10 -0.96592582628906831
1.1102230246251565e-16 -1.0950774259168191e-18 1.0221835390755052e-18 6.9720880659288593e-21 6.009160476514381e-24 1.7329401049750259e-16 -0.98078528032518164 7.8048701960401848e-11 -0.98078528040323032
2.2204460492503131e-16 -9.5344558629136112e-20 4.2357659215683514e-19 2.899962814478401e-22 1.0580394874466612e-24 3.614293680928265e-17 -0.99144486134224197 3.156836692452043e-11 -0.99144486137381038
1.1102230246251565e-16 -1.4768207153477039e-21 1.1451370658011334e-19 1.1778308204349742e-24 1.7050299042305249e-26 2.3317172411824993e-18 -0.99785892323293646 5.6667548440992649e-12 -0.99785892323860326
0 -9.0917141196411299e-41 1.540743979157429e-33 2.1913369553401447e-45 7.293183161738563e-47 1.6534847363708532e-46 -1 -4.7214273183812886e-17 -1
