label,t,I,D,E
natural step 40 Re 474.368,5.621358484903956,2.0444944992231706,2.048496568673838,0.05190088732544109
natural step 40 Re 474.368,5.697322788754009,2.044553221527532,2.048170509990964,0.05188402841695863
natural step 40 Re 474.368,5.773287092604063,2.0445670446922626,2.047818046660173,0.051867493026523166
natural step 40 Re 474.368,5.849251396454116,2.044533783351242,2.0474384976206723,0.05185129519694864
natural step 40 Re 474.368,5.92521570030417,2.044451442722925,2.0470311831926224,0.051835449975394424
natural step 40 Re 474.368,6.001180004154223,2.0443182415435652,2.046595430727974,0.05181997342841744
natural step 40 Re 474.368,6.077144308004277,2.044132641252494,2.046130585832498,0.051804882635395545
natural step 40 Re 474.368,6.15310861185433,2.043893361891296,2.0456360187818357,0.05179019569292219
natural step 40 Re 474.368,6.229072915704384,2.043599401070477,2.045111131833794,0.051775931681589525
natural step 40 Re 474.368,6.305037219554437,2.0432500546176025,2.0445553705488573,0.05176211061640327
natural step 40 Re 474.368,6.38100152340449,2.042844924941344,2.0439682296266275,0.05174875341189352
natural step 40 Re 474.368,6.456965827254543,2.0423839329524496,2.0433492616170454,0.05173588179342581
natural step 40 Re 474.368,6.532930131104597,2.0418673276614023,2.0426980871253315,0.05172351821816209
natural step 40 Re 474.368,6.60889443495465,2.0412956860165323,2.042014400170591,0.0517116857939447
natural step 40 Re 474.368,6.684858738804704,2.0406699150242438,2.0412979774115456,0.051700408143406006
natural step 40 Re 474.368,6.760823042654757,2.0399912506828644,2.040548686466836,0.05168970930483624
natural step 40 Re 474.368,6.836787346504811,2.039261247539699,2.039766490528544,0.05167961360612316
natural step 40 Re 474.368,6.912751650354864,2.0384817710696392,2.038951457046293,0.05167014549925173
natural step 40 Re 474.368,6.988715954204918,2.037654986291085,2.0381037633788215,0.051661329446970966
natural step 40 Re 474.368,7.064680258054971,2.0367833372357262,2.037223700377732,0.05165318975954169
natural step 40 Re 474.368,7.140644561905025,2.0358695316304,2.0363116792953053,0.05164575042483958
natural step 40 Re 474.368,7.216608865755078,2.0349165194201033,2.0353682341005257,0.05163903498407082
natural step 40 Re 474.368,7.292573169605132,2.0339274644521517,2.0343940235521822,0.051633066344497255
natural step 40 Re 474.368,7.368537473455185,2.032905724817491,2.033389835259122,0.05162786663160803
natural step 40 Re 474.368,7.444501777305239,2.031854821683476,2.0323565841427023,0.051623457053904
natural step 40 Re 474.368,7.520466081155292,2.0307784086796388,2.0312953126183264,0.0516198577192458
natural step 40 Re 474.368,7.596430385005346,2.029680248426764,2.0302071905410006,0.051617087516530366
natural step 40 Re 474.368,7.672394688855399,2.028564176650992,2.0290935102080025,0.051615163982280964
natural step 40 Re 474.368,7.748358992705453,2.0274340732746525,2.0279556839073987,0.05161410314394916
natural step 40 Re 474.368,7.824323296555506,2.0262938362670253,2.026795239225466,0.0516139194362259
natural step 40 Re 474.368,7.9002876004055596,2.0251473463482026,2.0256138108978154,0.05161462557708116
natural step 40 Re 474.368,7.976251904255613,2.0239984436989986,2.0244131356772184,0.05161623246384272
natural step 40 Re 474.368,8.052216208105666,2.0228509001430695,2.0231950428241205,0.05161874911863258
natural step 40 Re 474.368,8.12818051195572,2.0217083909275133,2.0219614437932667,0.05162218259148103
natural step 40 Re 474.368,8.204144815805773,2.0205744765774716,2.0207143240517986,0.051626537914056865
natural step 40 Re 474.368,8.280109119655826,2.019452578483452,2.019455730089789,0.05163181807501444
natural step 40 Re 474.368,8.35607342350588,2.0183459602385714,2.018187757720106,0.05163802396282131
natural step 40 Re 474.368,8.432037727355933,2.0172577141549572,2.016912541156386,0.051645154374659455
natural step 40 Re 474.368,8.508002031205987,2.01619074488354,2.015632238191626,0.05165320601727366
natural step 40 Re 474.368,8.58396633505604,2.0151477599425465,2.014349018398843,0.05166217350080391
natural step 40 Re 474.368,8.659930638906093,2.0141312615846134,2.0130650502224365,0.05167204939145705
natural step 40 Re 474.368,8.735894942756147,2.0131435403625435,2.011782486347848,0.05168282423608665
natural step 40 Re 474.368,8.8118592466062,2.0121866725875073,2.010503452839692,0.05169448660657278
natural step 40 Re 474.368,8.887823550456254,2.0112625193647125,2.009230035881847,0.051707023183020236
natural step 40 Re 474.368,8.963787854306307,2.010372728253932,2.007964269329812,0.051720418800879374
natural step 40 Re 474.368,9.039752158156361,2.00951873608071,2.0067081254501797,0.051734656538145345
natural step 40 Re 474.368,9.115716462006414,2.0087017753339382,2.0054635034118395,0.05174971781190011
natural step 40 Re 474.368,9.191680765856468,2.007922880188479,2.004232220590099,0.051765582448824614
natural step 40 Re 474.368,9.267645069706521,2.007182894505001,2.0030160056710966,0.051782228800622845
natural step 40 Re 474.368,9.343609373556575,2.006482482722247,2.0018164905153677,0.05179963384011337
natural step 40 Re 474.368,9.419573677406628,2.0058221375249934,2.0006352063118205,0.051817773252501746
natural step 40 Re 474.368,9.495537981256682,2.0052021923012817,1.999473579615698,0.051836621560804805
