case,group,unique_id,members,n_sol_ids,n_curves,plot_path
re400_lx10_lz6,E,u002,sol012@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u002.png
re400_lx10_lz6,E,u003,sol009@J1K3L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u003.png
re400_lx10_lz6,E,u004,sol006@J2K4L6,1,6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u004.png
re400_lx10_lz6,E,u005,sol003@J2K4L8;sol008@J2K4L6,2,12,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u005.png
re400_lx10_lz6,E,u006,sol001@J3K4L9;sol002@J2K4L6;sol016@J1K3L5,3,14,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u006.png
re400_lx10_lz6,E,u007,sol010@J2K4L6,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u007.png
re400_lx10_lz6,F,u001,sol002@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/F/u001.png
re400_lx10_lz6,F,u002,sol001@J2K4L8,1,8,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/F/u002.png
re400_lx10_lz6,G,u001,sol001@J2K4L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u001.png
re400_lx10_lz6,G,u002,sol002@J2K4L5;sol009@J1K4L5,2,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u002.png
re400_lx10_lz6,G,u003,sol003@J2K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u003.png
re400_lx10_lz6,G,u004,sol005@J1K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u004.png
re400_lx10_lz6,G,u005,sol008@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u005.png
re400_lx10_lz6,G,u006,sol004@J1K4L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/G/u006.png
re400_lx2pi_lzpi,A,u001,sol001@J2K4L6;sol002@J2K4L5,2,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/A/u001.png
re400_lx2pi_lzpi,A,u002,sol003@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/A/u002.png
re400_lx2pi_lzpi,B,u001,sol002@J2K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/B/u001.png
re400_lx2pi_lzpi,B,u002,sol001@J1K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/B/u002.png
re400_lx2pi_lzpi,B,u003,sol003@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/B/u003.png
re400_lx2pi_lzpi,C,u001,sol002@J2K4L5;sol003@J2K4L5,2,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/C/u001.png
re400_lx2pi_lzpi,C,u002,sol004@J1K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/C/u002.png
re400_lx2pi_lzpi,C,u003,sol005@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/C/u003.png
re400_lx2pi_lzpi,D,u001,sol001@J1K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/D/u001.png
re400_lx2pi_lzpi,D,u002,sol003@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/D/u002.png
re400_lx2pi_lzpi,E,u001,sol001@J3K5L9;sol003@J1K3L5;sol007@J1K3L5,3,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/E/u001.png
re400_lx2pi_lzpi,E,u002,sol002@J2K4L6,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/E/u002.png
re400_lx2pi_lzpi,F,u001,sol001@J1K4L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/F/u001.png
re400_lx2pi_lzpi,F,u002,sol003@J1K3L5,1,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/F/u002.png
re400_lx2pi_lzpi,G,u001,sol004@J1K4L5;sol005@J1K3L5;sol006@J1K3L5,3,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/G/u001.png
re400_lx2pi_lzpi,G,u002,sol001@J1K4L5;sol002@J1K4L5;sol003@J1K3L5,3,0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx2pi_lzpi/G/u002.png
